Subject	Experiment	Condition_1possible_2impossible	Coplayer_cost	Efficiency	Reciprocity	Whether_Reject	Pain_reduction	Second_order_belief	Perceived_care	Obligation	Guilt	Gratitude
1101	1	1	5	1	6.58	0	4	3.08	36.7	5.11	18.28	62.45
1101	1	1	7	1	9.14	0	5.6	10	21.33	50	23.77	60.25
1101	1	1	8	1	8.05	0	6.4	9.51	68.79	41.58	28.89	64.64
1101	1	1	9	1	10.43	1	7.2	12.29	55.61	35.6	38.29	58.54
1101	1	1	10	1	7.86	0	8	11.77	44.27	31.21	32.06	74.4
1101	1	1	11	1	11.77	0	8.8	11.07	66.47	50.49	46.34	71.47
1101	1	1	12	1	15.18	1	9.6	15	67.81	58.91	47.19	100
1101	1	1	14	1	11.83	0	11.2	3.2	72.45	53.17	65.62	79.04
1101	1	1	15	1	16.28	0	12	7.81	78.06	48.29	28.77	77.57
1101	1	1	16	1	10.36	0	12.8	18.05	86.6	59.27	77.21	98.07
1101	1	1	18	1	20.43	1	14.4	21.41	90.14	53.42	73.79	100
1101	1	1	20	1	10.36	0	16	20.43	86.73	87.21	69.28	100
1101	1	0	5	1	0	0	4	0	35.24	0	5.11	23.4
1101	1	0	7	1	7.86	1	5.6	4.51	63.18	53.9	51.83	74.65
1101	1	0	8	1	8.96	0	6.4	3.57	60.74	15.73	50.12	59.52
1101	1	0	9	1	10.85	0	7.2	1.37	48.54	11.33	12.8	40.24
1101	1	0	10	1	10.97	0	8	9.82	66.72	52.81	61.22	71.47
1101	1	0	11	1	12.62	0	8.8	3.01	67.2	30.84	43.29	83.43
1101	1	0	12	1	10.67	0	9.6	5.24	66.96	11.94	65.13	77.57
1101	1	0	14	1	13.9	0	11.2	0.57	69.89	50	33.78	83.43
1101	1	0	15	1	16.59	1	12	9.33	76.11	32.92	66.35	98.56
1101	1	0	16	1	15	0	12.8	0.45	80.75	35.85	61.59	82.21
1101	1	0	18	1	20.13	0	14.4	0.3	90.14	53.78	60.98	99.05
1101	1	0	20	1	15.37	0	16	0	100	8.41	70.38	100
1103	1	1	5	1	0	0	4	0	0	0	0	0
1103	1	1	7	1	7.01	0	5.6	4.48	4	3.15	0	16.08
1103	1	1	8	1	8.05	0	6.4	7.01	11.81	5.47	0.23	4.37
